,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
1412,5/13/2002,May,2002,Wildfire,0,0,California,1
1413,5/13/2002,May,2002,Wildfire,0,250000,California,1
1414,5/14/2002,May,2002,Wildfire,0,400000,California,1
1415,5/14/2002,May,2002,Wildfire,0,0,California,1
1416,5/14/2002,May,2002,Wildfire,0,0,California,1
1417,5/14/2002,May,2002,Wildfire,0,0,California,1
1418,5/14/2002,May,2002,Wildfire,0,0,California,1
1419,5/14/2002,May,2002,Wildfire,0,0,California,1
1420,5/14/2002,May,2002,Wildfire,0,0,California,1
1421,5/21/2002,May,2002,Wildfire,0,0,California,1
1422,5/31/2002,May,2002,Wildfire,0,0,California,1
1423,6/1/2002,Jun,2002,Wildfire,0,0,California,1
1424,6/1/2002,Jun,2002,Wildfire,0,300000,California,1
1425,6/1/2002,Jun,2002,Wildfire,0,95000,California,1
1426,6/2/2002,Jun,2002,Wildfire,0,0,California,1
1427,6/2/2002,Jun,2002,Wildfire,0,0,California,1
1428,6/3/2002,Jun,2002,Wildfire,0,110000,California,1
1429,6/3/2002,Jun,2002,Wildfire,0,0,California,1
1430,6/4/2002,Jun,2002,Wildfire,0,0,California,1
1431,6/5/2002,Jun,2002,Wildfire,0,0,California,1
1432,6/9/2002,Jun,2002,Wildfire,0,0,California,1
1433,6/15/2002,Jun,2002,Wildfire,0,15000,California,1
1434,6/15/2002,Jun,2002,Wildfire,0,1950000,California,1
1435,6/16/2002,Jun,2002,Wildfire,0,0,California,1
1436,6/17/2002,Jun,2002,Wildfire,0,1000000,California,1
1437,6/17/2002,Jun,2002,Wildfire,0,300000,California,1
1438,6/17/2002,Jun,2002,Wildfire,0,150000,California,1
1439,6/18/2002,Jun,2002,Wildfire,0,0,California,1
1440,6/18/2002,Jun,2002,Wildfire,0,0,California,1
1441,6/18/2002,Jun,2002,Wildfire,0,0,California,1
1442,6/18/2002,Jun,2002,Wildfire,0,0,California,1
1443,6/19/2002,Jun,2002,Wildfire,0,0,California,1
1444,6/24/2002,Jun,2002,Wildfire,0,300000,California,1
1445,6/24/2002,Jun,2002,Wildfire,0,0,California,1
1446,6/24/2002,Jun,2002,Wildfire,0,0,California,1
1447,6/24/2002,Jun,2002,Wildfire,0,80000,California,1
1448,6/25/2002,Jun,2002,Wildfire,0,0,California,1
1449,6/25/2002,Jun,2002,Wildfire,0,0,California,1
1450,6/26/2002,Jun,2002,Wildfire,0,0,California,1
1451,6/26/2002,Jun,2002,Wildfire,0,2000000,California,1
1452,6/28/2002,Jun,2002,Wildfire,0,0,California,1
1453,6/30/2002,Jun,2002,Wildfire,0,0,California,1
1454,6/30/2002,Jun,2002,Wildfire,0,0,California,1
1455,6/30/2002,Jun,2002,Wildfire,0,20000,California,1
1456,7/1/2002,Jul,2002,Wildfire,0,0,California,1
1457,7/1/2002,Jul,2002,Wildfire,0,0,California,1
1458,7/4/2002,Jul,2002,Wildfire,0,0,California,1
1459,7/6/2002,Jul,2002,Wildfire,0,0,California,1
1460,7/10/2002,Jul,2002,Wildfire,0,25000,California,1
1461,7/10/2002,Jul,2002,Wildfire,0,0,California,1
1462,7/11/2002,Jul,2002,Wildfire,0,0,California,1
1463,7/13/2002,Jul,2002,Wildfire,0,0,California,1
1464,7/13/2002,Jul,2002,Wildfire,0,0,California,1
1465,7/16/2002,Jul,2002,Wildfire,0,0,California,1
1466,7/17/2002,Jul,2002,Wildfire,0,0,California,1
1467,7/17/2002,Jul,2002,Wildfire,0,0,California,1
1468,7/20/2002,Jul,2002,Wildfire,0,0,California,1
1469,7/21/2002,Jul,2002,Wildfire,0,0,California,1
1470,7/21/2002,Jul,2002,Wildfire,0,3780000,California,1
1471,7/22/2002,Jul,2002,Wildfire,0,14300000,California,1
1472,7/23/2002,Jul,2002,Wildfire,0,55000,California,1
1473,7/24/2002,Jul,2002,Wildfire,0,0,California,1
1474,7/24/2002,Jul,2002,Wildfire,0,0,California,1
1475,7/25/2002,Jul,2002,Wildfire,0,3000,California,1
1476,7/26/2002,Jul,2002,Wildfire,0,0,California,1
1477,7/26/2002,Jul,2002,Wildfire,0,0,California,1
1478,7/28/2002,Jul,2002,Wildfire,0,0,California,1
1479,7/29/2002,Jul,2002,Wildfire,0,0,California,1
1480,7/29/2002,Jul,2002,Wildfire,0,0,California,1
1481,7/29/2002,Jul,2002,Wildfire,0,0,California,1
1482,8/1/2002,Aug,2002,Wildfire,0,2000000,California,1
1483,8/1/2002,Aug,2002,Wildfire,0,45700000,California,1
1484,8/1/2002,Aug,2002,Wildfire,0,10000000,California,1
1485,8/1/2002,Aug,2002,Wildfire,0,0,California,1
1486,8/4/2002,Aug,2002,Wildfire,0,0,California,1
1487,8/4/2002,Aug,2002,Wildfire,0,130000,California,1
1488,8/6/2002,Aug,2002,Wildfire,0,0,California,1
1489,8/9/2002,Aug,2002,Wildfire,0,0,California,1
1490,8/9/2002,Aug,2002,Wildfire,0,0,California,1
1491,8/11/2002,Aug,2002,Wildfire,0,0,California,1
1492,8/11/2002,Aug,2002,Wildfire,0,15000,California,1
1493,8/17/2002,Aug,2002,Wildfire,0,0,California,1
1494,8/24/2002,Aug,2002,Wildfire,0,290000,California,1
1495,8/27/2002,Aug,2002,Wildfire,0,0,California,1
1496,8/29/2002,Aug,2002,Wildfire,1,750000,California,1
1497,9/1/2002,Sep,2002,Wildfire,0,20000,California,1
1498,9/1/2002,Sep,2002,Wildfire,0,0,California,1
1499,9/2/2002,Sep,2002,Wildfire,0,12700000,California,1
1500,9/4/2002,Sep,2002,Wildfire,0,0,California,1
1501,9/5/2002,Sep,2002,Wildfire,0,0,California,1
1502,9/11/2002,Sep,2002,Wildfire,0,0,California,1
1503,9/16/2002,Sep,2002,Wildfire,0,0,California,1
1504,9/22/2002,Sep,2002,Wildfire,0,0,California,1
1505,10/2/2002,Oct,2002,Wildfire,0,15300000,California,1
1506,10/13/2002,Oct,2002,Wildfire,0,0,California,1
1507,11/20/2002,Nov,2002,Wildfire,0,0,California,1
1508,11/26/2002,Nov,2002,Wildfire,0,0,California,1
1509,11/26/2002,Nov,2002,Wildfire,0,30000,California,1
1510,11/27/2002,Nov,2002,Wildfire,0,0,California,1
1511,1/6/2003,Jan,2003,Wildfire,0,22000,California,1
1512,1/6/2003,Jan,2003,Wildfire,0,75000,California,1
1513,1/11/2003,Jan,2003,Wildfire,0,0,California,1
1514,2/1/2003,Feb,2003,Wildfire,0,2500000,California,1
1515,5/19/2003,May,2003,Wildfire,0,0,California,1
1516,5/26/2003,May,2003,Wildfire,0,0,California,1
1517,6/2/2003,Jun,2003,Wildfire,0,0,California,1
1518,6/6/2003,Jun,2003,Wildfire,0,15000,California,1
1519,6/13/2003,Jun,2003,Wildfire,0,55000,California,1
1520,6/15/2003,Jun,2003,Wildfire,0,10000,California,1
1521,6/15/2003,Jun,2003,Wildfire,0,0,California,1
1522,6/16/2003,Jun,2003,Wildfire,0,0,California,1
1523,6/26/2003,Jun,2003,Wildfire,0,0,California,1
1524,6/26/2003,Jun,2003,Wildfire,0,0,California,1
1525,6/26/2003,Jun,2003,Wildfire,0,0,California,1
1526,6/28/2003,Jun,2003,Wildfire,0,800000,California,1
1527,6/29/2003,Jun,2003,Wildfire,0,0,California,1
1528,6/29/2003,Jun,2003,Wildfire,0,1590000,California,1
1529,6/30/2003,Jun,2003,Wildfire,0,0,California,1
1530,6/30/2003,Jun,2003,Wildfire,0,0,California,1
1531,6/30/2003,Jun,2003,Wildfire,0,0,California,1
1532,6/30/2003,Jun,2003,Wildfire,0,0,California,1
1533,7/1/2003,Jul,2003,Wildfire,0,0,California,1
1534,7/1/2003,Jul,2003,Wildfire,0,0,California,1
1535,7/3/2003,Jul,2003,Wildfire,0,0,California,1
1536,7/3/2003,Jul,2003,Wildfire,0,810000,California,1
1537,7/4/2003,Jul,2003,Wildfire,0,750000,California,1
1538,7/5/2003,Jul,2003,Wildfire,0,0,California,1
1539,7/5/2003,Jul,2003,Wildfire,0,0,California,1
1540,7/6/2003,Jul,2003,Wildfire,0,0,California,1
1541,7/6/2003,Jul,2003,Wildfire,0,20000,California,1
1542,7/7/2003,Jul,2003,Wildfire,0,0,California,1
1543,7/7/2003,Jul,2003,Wildfire,0,0,California,1
1544,7/7/2003,Jul,2003,Wildfire,0,0,California,1
1545,7/8/2003,Jul,2003,Wildfire,0,0,California,1
1546,7/8/2003,Jul,2003,Wildfire,0,0,California,1
1547,7/8/2003,Jul,2003,Wildfire,0,0,California,1
1548,7/8/2003,Jul,2003,Wildfire,0,680000,California,1
1549,7/12/2003,Jul,2003,Wildfire,0,1280000,California,1
1550,7/13/2003,Jul,2003,Wildfire,0,0,California,1
1551,7/14/2003,Jul,2003,Wildfire,0,0,California,1
1552,7/15/2003,Jul,2003,Wildfire,0,0,California,1
1553,7/16/2003,Jul,2003,Wildfire,0,0,California,1
1554,7/16/2003,Jul,2003,Wildfire,0,0,California,1
1555,7/19/2003,Jul,2003,Wildfire,0,1000000,California,1
1556,7/20/2003,Jul,2003,Wildfire,0,0,California,1
1557,7/20/2003,Jul,2003,Wildfire,0,0,California,1
1558,7/21/2003,Jul,2003,Wildfire,0,0,California,1
1559,7/23/2003,Jul,2003,Wildfire,0,0,California,1
1560,7/25/2003,Jul,2003,Wildfire,0,2580000,California,1
1561,7/26/2003,Jul,2003,Wildfire,0,400000,California,1
1562,7/27/2003,Jul,2003,Wildfire,0,0,California,1
1563,7/28/2003,Jul,2003,Wildfire,0,0,California,1
1564,7/30/2003,Jul,2003,Wildfire,0,0,California,1
1565,7/30/2003,Jul,2003,Wildfire,0,650000,California,1
1566,7/31/2003,Jul,2003,Wildfire,0,0,California,1
1567,8/1/2003,Aug,2003,Wildfire,0,0,California,1
1568,8/1/2003,Aug,2003,Wildfire,0,20000,California,1
1569,8/1/2003,Aug,2003,Wildfire,0,22000,California,1
1570,8/1/2003,Aug,2003,Wildfire,0,0,California,1
1571,8/1/2003,Aug,2003,Wildfire,0,0,California,1
1572,8/4/2003,Aug,2003,Wildfire,0,0,California,1
1573,8/10/2003,Aug,2003,Wildfire,0,0,California,1
1574,8/14/2003,Aug,2003,Wildfire,0,0,California,1
1575,8/15/2003,Aug,2003,Wildfire,0,0,California,1
1576,8/17/2003,Aug,2003,Wildfire,0,0,California,1
1577,8/18/2003,Aug,2003,Wildfire,0,0,California,1
1578,8/18/2003,Aug,2003,Wildfire,0,1000000,California,1
1579,8/20/2003,Aug,2003,Wildfire,0,0,California,1
1580,8/21/2003,Aug,2003,Wildfire,0,20000,California,1
1581,8/23/2003,Aug,2003,Wildfire,0,2000,California,1
